,name,rating
0,Boreal Mountain California,4.3
1,Fairfield Inn & Suites by Marriott Milledgeville,3.9
2,Tesla Destination Charger,2.0
3,Legacy Vacation Resort Lake Buena Vista,4.2
4,Hyatt Place St. Petersburg / Downtown,4.5
5,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi,4.0
6,Best Western Plus Yosemite Gateway Inn,4.4
7,Hampton Inn Sioux Falls,4.3
8,Sheraton Atlanta Hotel,3.9
9,Best Western Plus Stevenson Manor,4.5
10,Jackson Gore Inn at Okemo Mountain Resort,4.5
11,Comfort Inn Yulee - Fernandina Beach,4.1
12,Inn at the Cobbler's Walk Mendocino,4.7
13,Fairfield Inn & Suites by Marriott Key West at The Keys Collection,4.3
14,Holiday Inn Express & Suites Dallas-North Tollway (N Plano),4.1
15,Hampton Inn & Suites Reno/Sparks,4.2
16,Hilton Short Hills,4.2
17,Tesla Destination Charger,5.0
18,Smithfield Station,4.4
19,Coyote Gulch Art Village,4.6
20,Colony Palms Hotel,4.5
21,Hampton Inn & Suites Dumas,4.4
22,Best Western Plus Fresno Inn,4.2
23,Hilton St. Louis Airport,3.9
24,Carillon Miami Wellness Resort,4.6
25,Comfort Inn and Suites Harrisburg Airport,4.5
26,"Country Inn & Suites by Radisson, Rochester-Pittsford/Brighton, NY",4.3
27,Legacy Vacation Resorts Steamboat Springs Suites,4.0
28,DoubleTree by Hilton Hotel Boston - Downtown,4.2
29,Hotel Vandivort,4.6
30,The Beverly Hilton,4.4
31,Hutton Hotel,4.4
32,Best Western Plus Thousand Oaks Inn,4.0
33,Graduate Oxford,4.5
34,"Whiteface Lodge - Lake Placid, NY",4.6
35,Omni Amelia Island Resort,4.4
36,Canyon Country Lodge,4.7
37,San Francisco Airport Marriott Waterfront,4.4
38,Four Seasons Resort Lanai,4.8
39,The Ahwahnee,4.4
40,Beachfront Hotel Houghton Lake,4.3
41,Hilton Garden Inn Washington DC Downtown,4.2
42,Hampton Inn Boston-Norwood,4.4
43,The Sayre Mansion,4.6
44,"Waterstone Resort & Marina, Boca Raton, Curio Collection",4.2
45,TownePlace Suites by Marriott Springfield,4.6
46,Fairfield Inn & Suites by Marriott Santa Cruz - Capitola,4.5
47,Cavallo Point Lodge,4.6
48,Best Western Plus Inn at Hunt Ridge,4.3
49,Home2 Suites by Hilton Lake Charles,4.2
50,Ivey's Motor Lodge Houlton by Magnuson Worldwide,4.3
51,Homewood Suites by Hilton Miami - Airport West,4.4
52,DoubleTree by Hilton Hotel Atlanta - Roswell,4.2
53,Four Seasons Resort Rancho Encantado Santa Fe,4.6
54,Best Western Southside Hotel & Suites,3.9
55,Delta Hotels by Marriott Richmond Downtown,4.3
56,Sugarbush Resort at Mt. Ellen,4.7
57,Grand Hyatt Atlanta In Buckhead,4.5
58,Nemacolin Woodlands Resort,4.6
59,The Gideon Putnam,4.2
60,Timber Creek Lodge,3.2
61,Washington Plaza Hotel,4.3
62,"Beverly Wilshire, A Four Seasons Hotel",4.7
63,Green Springs Inn & Cabins,4.7
64,Embassy Suites by Hilton Berkeley Heights,4.6
65,TownePlace Suites by Marriott Richmond,4.6
66,BKLYN AIR,3.0
67,Best Western Coral Hills,4.5
68,Bonanza King Resort,4.6
69,Hotel Indigo Sarasota,4.5
70,Wyndham Garden Greenville Airport,4.0
71,Tesla Destination Charger,5.0
72,Element Omaha Midtown Crossing,4.3
73,Best Western Gettysburg,4.6
74,Homewood Suites by Hilton Durham-Chapel Hill / I-40,4.4
75,The camby hotel,5.0
76,Omni Charlottesville Hotel,4.4
77,Cambria Hotel Akron - Canton Airport,4.5
78,Super 8 by Wyndham Grangeville,4.6
79,Home2 Suites by Hilton Nashville Franklin Cool Springs,4.5
80,Hyatt Place Champaign/Urbana,4.5
81,Tesla Destination Charger,4.0
82,Best Western Premier Grand Canyon Squire Inn,4.2
83,Los Angeles Marriott Burbank Airport,4.4
84,The Village Lodge Mammoth,4.5
85,Hyatt Place Fresno,4.2
86,Holiday Inn Express & Suites Wharton,4.1
87,Markham House Suites Little Rock Medical Center,3.9
88,Hyatt Place Houston Nw Vintage Park,4.4
89,Crowne Plaza Atlanta-Airport,4.0
90,Hotel Fairmont San Francisco,4.5
91,Denver Marriott Tech Center,4.3
92,Shelburne Hotel,4.5
93,Cache Creek Casino Resort,4.1
94,MacCallum House Inn,4.4
95,DoubleTree by Hilton Hotel Fresno Convention Center,4.3
96,Holiday Inn Express & Suites Naples Downtown - 5th Avenue,4.2
