,name,rating,state,regions
0,TownePlace Suites by Marriott Titusville Kennedy Space Center,4.6,FL,S
1,Holiday Inn Express & Suites Rogers,4.1,MN,M
2,Kon Tiki Inn,4.7,CA,W
3,Hyatt Regency Lake Washington At Seattle's Southport,4.5,WA,W
4,Hilton Garden Inn Rockville-Gaithersburg,4.4,MD,N
5,DoubleTree by Hilton Hotel Monrovia - Pasadena Area,4.3,CA,W
6,Hampton Inn & Suites Kokomo,4.4,IN,M
7,Custom Touch Village,4.1,TX,S
8,DoubleTree by Hilton Hotel Lafayette,4.2,LA,S
9,Graduate Fayetteville,4.5,AR,S
10,Margaritaville Beach Hotel,4.6,FL,S
11,The Imperial Palms Hotel & Resort,4.2,CA,W
12,Hotel Goodwin,4.6,WI,M
13,21c Museum Hotel Bentonville,4.7,AR,S
14,Hyatt Place Blacksburg/University,4.7,VA,S
15,Mission Inn Hotel & Spa,4.6,CA,W
16,Courtyard by Marriott Akron Downtown,4.5,OH,M
17,The Brown Palace Hotel and Spa Autograph Collection,4.6,CO,W
18,The Seagate Hotel & Spa,4.5,FL,S
19,Courtyard by Marriott Lima,4.4,OH,M
20,Fort Lauderdale Marriott Pompano Beach Resort & Spa,4.4,FL,S
21,The Brewhouse Inn & Suites,4.6,WI,M
22,Knott's Berry Farm Hotel,4.2,CA,W
23,Talking Stick Resort,4.3,AZ,W
24,Hancock Hotel,4.8,OH,M
25,Canal Park Lodge,4.5,MN,M
26,Courtyard by Marriott Salt Lake City Layton,4.3,UT,W
27,Loews Ventana Canyon Resort,4.6,AZ,W
28,The Ballantyne a Luxury Collection Hotel Charlotte,4.7,NC,S
29,Drury Inn & Suites Lafayette IN,0.0,IN,M
30,Texican Court,4.5,TX,S
31,Little America Hotel,4.5,AZ,W
32,Lodge Kohler,4.7,WI,M
33,OYO Hotel Palmdale - Antelope Valley,3.7,CA,W
34,Hampton Inn & Suites Seattle-North/Lynnwood,4.3,WA,W
35,Alouette Beach Resort,4.2,ME,N
36,The Hotel at Auburn University & Dixon Conference Center,4.6,AL,S
37,Hilton Garden Inn Foxborough Patriot Place,4.5,MA,N
38,Hotel Abri,4.1,CA,W
39,Sheraton Mesa Hotel at Wrigleyville West,4.4,AZ,W
40,DoubleTree by Hilton Hotel Columbus - Worthington,4.1,OH,M
41,Hotel Indigo Chattanooga - Downtown,4.7,TN,S
42,Fairfield Inn & Suites by Marriott Whitewater,3.8,WI,M
43,The Palms Oceanfront Hotel,4.0,SC,S
44,Hyatt Regency Bloomington - Minneapolis,4.5,MN,M
45,Hilton Bellevue,4.2,WA,W
46,Hotel Indigo Asheville Downtown,4.4,NC,S
47,The Armstrong Hotel,4.5,CO,W
48,Embassy Suites by Hilton Brea North Orange County,4.4,CA,W
49,Tru by Hilton Bowling Green,4.3,KY,S
50,TownePlace Suites by Marriott Clovis,4.4,NM,W
51,Isle Casino Hotel Waterloo,3.8,IA,M
52,The Lodge at Columbia Point,4.8,WA,W
53,Park Lane Hotel NY,4.0,NY,N
54,La Quinta Inn & Suites by Wyndham McAllen Convention Center,4.6,TX,S
55,Hotel Zico,4.4,CA,W
56,Marriott Marquis Houston,4.6,TX,S
57,AC Hotel by Marriott Raleigh North Hills,4.5,NC,S
58,Hilton San Diego Bayfront,4.4,CA,W
59,Inn On The Beach,4.1,CA,W
60,Royal Park Hotel,4.6,MI,W
61,Hampton Inn & Suites York South,4.6,PA,N
62,Valley River Inn,4.0,OR,W
63,Hotel 43,4.5,ID,W
64,DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown,4.2,PA,N
65,Plaza Inn and Suites,3.2,TX,S
66,The Duniway Portland A Hilton Hotel,4.6,OR,W
67,Made Hotel,4.4,NY,N
68,DoubleTree by Hilton Hotel Cleveland - Independence,4.0,OH,M
69,The Ritz-Carlton Tysons Corner,4.6,VA,S
70,Hilton Garden Inn Lakeland,4.3,FL,S
71,Hotel Maya - a DoubleTree by Hilton,4.4,CA,W
72,Hilton Norfolk The Main,4.6,VA,S
73,W Seattle,4.4,WA,W
74,DoubleTree by Hilton Hotel Jackson,4.0,TN,S
75,Bristol Harbor Inn,4.3,RI,N
76,Hotel Bellwether,4.6,WA,W
78,Hotel Vandivort,4.6,MO,M
79,Omni Interlocken Hotel,4.3,CO,W
80,FOUND Hotel San Francisco,4.1,CA,W
81,Gaia Hotel & Spa Redding Ascend Hotel Collection,4.0,CA,W
82,Tru By Hilton Salt Lake City Midvale,4.5,UT,W
83,Magnolia Hotel Omaha,4.2,NE,W
84,Holiday Inn Express & Suites Minot,4.4,ND,M
85,President Abraham Lincoln Springfield - a DoubleTree by Hilton Hotel,4.2,IL,M
86,Renaissance Walnut Creek Hotel,4.5,CA,W
87,Agua Caliente Resort Casino Spa Rancho Mirage,4.2,CA,W
88,Hyatt Place Columbus-North,4.1,GA,S
89,The Grand America Hotel,4.7,UT,W
90,Home2 Suites by Hilton West Monroe,4.5,LA,S
91,Hyatt Place Houston/Sugar Land,4.4,TX,S
92,The Inn at Elon,4.4,NC,S
93,The Westin Detroit Metropolitan Airport,4.3,MI,W
94,ClubHouse Hotel & Suites,4.7,SD,M
95,The Duniway Portland A Hilton Hotel,4.6,OR,W
96,DoubleTree by Hilton Hotel Milwaukee - Brookfield,4.1,WI,M
97,Amway Grand Plaza Curio Collection by Hilton,4.5,MI,W
